Municipio,Data,Precipitacao,DiaSemChuva,Mes,DiaSemana,Estacao_Seca,Municipio_Freq,Latitude,Longitude,media_focos_mes_hist,prob_fogo,risco
MORRINHOS,2026-06-22,0.6,0,6,0,1,0.0046879407173752,-17.747080471125827,-49.18201398317284,2.7681159420289854,0.4443928052121827,MÉDIO
DIVINÓPOLIS DE GOIÁS,2026-06-22,0.0,4,6,0,1,0.001997303455741,-13.286303429360114,-46.52383420100133,3.909090909090909,0.4414134909712466,MÉDIO
PIRACANJUBA,2026-06-22,0.6,0,6,0,1,0.0031550749228767,-17.359788624438703,-49.008963459189445,2.4878048780487805,0.43840689274284583,MÉDIO
CAMPOS BELOS,2026-06-22,0.0,5,6,0,1,0.0053953036418114,-12.986995843211018,-46.42094914457776,2.765957446808511,0.4329314334340044,MÉDIO
PORTEIRÃO,2026-06-22,0.0,1,6,0,1,0.002961620761914,-17.91222565304729,-50.164965023771295,3.433333333333333,0.4283606412585278,MÉDIO
MOSSÂMEDES,2026-06-22,0.0,8,6,0,1,0.002096984034863,-16.138102134284225,-50.1950255261411,1.875,0.4200075123401954,MÉDIO
UIRAPURU,2026-06-22,0.0,6,6,0,1,0.0023568919152404,-14.1658704952681,-49.9660646641288,1.8823529411764703,0.41901417802668406,MÉDIO
PIRES DO RIO,2026-06-22,0.0,1,6,0,1,0.0018075411680791,-17.230327492515848,-48.40629032850881,3.636363636363636,0.4188123551113137,MÉDIO
TRINDADE,2026-06-22,0.0,1,6,0,1,0.0016598662360465,-16.650075769653657,-49.51836291274552,1.6708860759493671,0.4168888684548992,MÉDIO
TURVELÂNDIA,2026-06-22,0.0,1,6,0,1,0.0033884013154882,-17.8061094010701,-50.31150433875028,2.41025641025641,0.41459855131765455,MÉDIO
MATRINCHÃ,2026-06-22,0.0,6,6,0,1,0.0013534407520788,-15.332925918372275,-50.75330754036656,3.5454545454545454,0.40990056339031034,MÉDIO
URUTAÍ,2026-06-22,0.0,7,6,0,1,0.001073596755877,-17.44233047699522,-48.19865040570893,2.357142857142857,0.40708457131610437,MÉDIO
RIALMA,2026-06-22,0.0,5,6,0,1,0.0012478531756755,-15.319958184167618,-49.53010326892392,1.5483870967741935,0.40596196331087125,MÉDIO
PIRANHAS,2026-06-22,1.2,0,6,0,1,0.0030155221121059,-16.447787530113146,-51.854078169184085,3.371794871794872,0.4041730586487271,MÉDIO
RUBIATABA,2026-06-22,0.0,5,6,0,1,0.0012448996770349,-15.197347826385103,-49.85541149603293,2.3846153846153846,0.4037389539924177,MÉDIO
BALIZA,2026-06-22,0.9,0,6,0,1,0.0094534107740676,-16.335498056525363,-52.47044379945877,2.369565217391304,0.40058873463491435,MÉDIO
TROMBAS,2026-06-22,0.0,5,6,0,1,0.0034592852828639,-13.45565441683509,-48.69444724203579,1.818181818181818,0.3955575632980608,BAIXO
FORMOSO,2026-06-22,0.0,5,6,0,1,0.0027740735982326,-13.7157591183698,-48.828383563721786,1.8333333333333333,0.38669689193092294,BAIXO
QUIRINÓPOLIS,2026-06-22,0.3,0,6,0,1,0.0039104322002235,-18.344498864270253,-50.57761418506451,3.3095238095238093,0.38610128295902285,BAIXO
LEOPOLDO DE BULHÕES,2026-06-22,0.0,6,6,0,1,0.0009037705840395,-16.556636131106096,-48.89337232999825,1.9428571428571428,0.3793448189185792,BAIXO
DOVERLÂNDIA,2026-06-22,7.5,0,6,0,1,0.0061203875580916,-16.786897298262215,-52.47629182084975,6.219512195121951,0.3699666724702569,BAIXO
MAMBAÍ,2026-06-22,0.0,5,6,0,1,0.005212186726091,-14.387997990140692,-46.051088000383096,5.1923076923076925,0.36917415178921925,BAIXO
INHUMAS,2026-06-22,0.0,1,6,0,1,0.0011282364807291,-16.318242778189063,-49.50186836687853,1.9130434782608696,0.3686534344590351,BAIXO
URUANA,2026-06-22,0.0,5,6,0,1,0.0009901604192786,-15.537768557761284,-49.65225244233562,2.5294117647058822,0.36400701957427367,BAIXO
GAMELEIRA DE GOIÁS,2026-06-22,0.0,6,6,0,1,0.0005648566150247,-16.393084698423134,-48.71174726623623,2.0303030303030303,0.3603293282444259,BAIXO
SANTA FÉ DE GOIÁS,2026-06-22,0.0,1,6,0,1,0.0017765294323523,-15.695835336846852,-51.16880663261477,4.266666666666667,0.3598606803614079,BAIXO
INDIARA,2026-06-22,0.3,0,6,0,1,0.0023591070392209,-17.22357364537349,-49.96111627583188,2.575,0.3582834065277316,BAIXO
